Avaliadores;Aceit_refer;Aceit_Basmati;Apar_refer;Apar_Basmati;Odor_refer;Odor_Basmati;Sabor_refer;Sabor_Basmati
C1;7;5;7;7;6;7;7;7
C2;7;5;7;7;6;7;7;7
C3;7;5;7;7;6;7;7;7
C4;7;5;7;7;6;7;7;7
C5;7;5;7;7;6;7;6;7
C6;7;5;7;7;6;7;6;7
C7;6;5;7;7;6;7;6;7
C8;6;6;7;7;6;7;6;6
C9;6;6;7;7;6;7;6;6
C10;6;6;7;7;6;7;6;6
C11;6;6;6;7;6;7;6;6
C12;6;6;6;7;6;7;6;6
C13;6;6;6;7;6;7;6;6
C14;6;6;6;7;6;7;6;6
C15;6;6;6;7;6;6;5;6
C16;6;6;6;7;6;6;5;6
C17;5;6;6;7;6;6;5;6
C18;5;6;6;7;6;6;5;6
C19;5;5;5;6;6;6;5;5
C20;5;5;5;6;5;6;5;5
C21;5;5;5;6;5;6;5;5
C22;5;5;5;6;5;6;5;5
C23;5;5;5;6;5;6;5;5
C24;5;5;5;6;5;6;5;5
C25;5;5;5;6;5;6;5;5
C26;5;5;5;6;5;6;5;5
C27;5;5;5;6;5;6;5;5
C28;5;5;5;6;5;6;5;5
C29;5;5;5;6;5;6;5;5
C30;5;5;5;6;4;6;5;5
C31;5;5;5;5;4;5;5;5
C32;5;5;5;5;4;5;5;5
C33;5;5;5;5;4;5;5;5
C34;5;5;5;5;4;5;5;5
C35;5;5;5;5;4;5;5;5
C36;5;5;5;5;4;5;5;5
C37;5;5;5;5;4;5;5;5
C38;5;5;5;5;4;5;5;5
C39;5;5;5;5;4;5;5;5
C40;5;5;5;5;4;5;5;5
C41;5;5;5;5;4;5;4;5
C42;5;5;4;5;4;5;4;5
C43;5;5;4;5;4;5;4;5
C44;5;5;4;5;4;5;4;5
C45;4;5;4;4;4;4;4;5
C46;4;5;4;4;4;4;4;5
C47;4;5;4;4;4;4;4;5
C48;4;5;3;4;4;4;4;4
C49;3;4;3;2;4;4;3;4
C50;3;4;3;2;3;3;3;4
C51;6;3;3;5;3;5;5;4
C52;6;3;6;6;6;6;6;3
